Question,Answer,Topic ,keywords,topic,Bidirectional LSMT glove v. 5 Clean,,Laura ,NLabels,,Cluster model,,,,,NLabels n.2,,semi supervised learning using  pretrained BERT,,Clusters prediction ,,,,,,,
"What is the title of the study by Sun, W et al 2016b?","The title of the study by Sun, W et al 2016b is Changes in Extreme Temperature and Precipitation Events in the Loess Plateau China During 19602013 Under Global Warming",Researching Ecology,"researching, research, researched, researches, climatology, studies, investigations, study, investigated, climatological, investigation, investigate, researcher, objective, exploration, exploring, researchers, purpose, objectives, seek, investigates, search, ecology, estudios, ecological, ecologization, seeks, purposes, studied, explore, why, geological, survey, climatic, investigating, explores, surveyed, goals, finding, explored, discovery, retrieval, studya, find, discover, bioclimatic, targets, studying, target, cfa",,science and tech,,others,factual,OK,Analysis,,6,others,OK,factual,OK,science & technology,,,2,,1,0,,2,others
What is the impact of climate change on vegetation phenology and net primary productivity in arid Central Asia?,"According to Wu et al 2021, climate change is having a significant impact on vegetation phenology and net primary productivity in arid Central Asia",Climatological Vegetation,"vegetation, plants, climatological, planting, climatology, factors, vegetative, cultivation, crops, plant, influencing, fertilizers, climatic, impacts, planted, croplands, deforestation, effects, ecologization, impact, soils, humidity, rainfalls, harvesting, climates, cultivated, droughts, ecotypes, soil, climatol, rainfall, climat, cropland, klimapositives, climate, ecoregions, acclimatize, meteorological, reforestation, growth, bioclimatic, factor, effect, climatena, orchards, affects, seedlings, consequences, humid, drought",,strategy,,analysis,science&tech,Q,Ethics and Regulation,,5,analysis,OK,strategy,,analysis,OK,2,1,,,2,,,analysis
How have decadal trends in the onset of spring vegetation green-up changed over the past three decades?,"According to Xie et al 2015, the onset of spring vegetation green-up has shifted over the past three decades, with decadal trends showing a slowing down or abrupt change in the advancing onset of spring vegetation green-up",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,others,,analysis,factual,,Ethics and Regulation,,5,analysis,OK,analysis,OK,science & technology,,2,1,,1,,,1,analysis
"How do deciduous forests respond to temperature, precipitation, and drought?","Deciduous forests respond to temperature, precipitation, and drought in a complex manner, implying climate change impacts",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,science and tech,OK,science and tech,science&tech,OK,Ethics and Regulation,,10,science&tech,OK,science&tech,OK,science & technology,OK,,5,,,,,,science and tech
What precipitation trends and variability were observed from 1950 to 2000 in arid lands of Central Asia?,Xu et al 2015 observed increasing precipitation trends and variability from 1950 to 2000 in arid lands of Central Asia,Climatological Variations,"scenarios, changes, climatological, klimapositives, scenario, climatology, climatic, acclimatize, forecasting, forecasts, climatol, climates, forecast, seasonality, alterations, variability, climat, fluctuations, climate, seasons, changed, scenariomip, meteorology, winters, change, variation, variablity, forecasted, microclimate, variations, winter, modifications, varies, meteorological, climatena, volatility, fluctuation, variational, predictions, situation, volatilities, predicts, permafrost, precipitations, predicting, season, meteorol, forecaster, frost, pp",,ethics and regulation,,analysis,science&tech,Q,Analysis,OK,2,analysis,OK,analysis,OK,science & technology,Q,2,2,1,,,,,analysis
What research has been done on the scale effect of climate factors on soil organic carbon stock in natural grasslands?,Research on the scale effect of climate factors on soil organic carbon stock in natural grasslands remains limited,Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,science and tech,Q,others,science&tech,Q,Ethics and Regulation,,9,analysis,,science&tech,Q,analysis,,2,3,,0,,,,others
What may changes in grassland soil organic carbon stock affect?,Changes in grassland soil organic carbon stock may significantly affect the regional climate and carbon cycle of terrestrial ecosystems,Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,others,,analysis,science&tech,Q,Analysis,OK,2,analysis,OK,science&tech,Q,science & technology,OK,1,3,,1,,,,analysis
What is the role of soil organic carbon in the carbon cycle?,"Soil organic carbon plays a vital role in the carbon cycle among the pedosphere, atmosphere, and biosphere",Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,strategy,,science and tech,strategy,*,Analysis,,2,analysis,,ethic and reg,,science & technology,OK,1,1,1,,2,,,science and tech
What percentage of the global soil carbon storage does grassland cover?,"Grassland covers at least 10% of the global soil carbon storage, and may even be as high as 30%",Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,others,,analysis,analysis,OK,Analysis,OK,2,analysis,OK,analysis,OK,analysis,OK,4,,,1,,,,analysis
How can climatic factors such as temperature and precipitation regulate SOC fluxes?,"Climatic factors such as temperature and precipitation can regulate SOC fluxes by affecting litter production and soil organic matter mineralization, which in turn, determines the type of biome and soil that is present",Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,science and tech,OK,science and tech,science&tech,OK,Ethics and Regulation,,10,science&tech,OK,science&tech,OK,science & technology,OK,,5,,,,,,science and tech
What are the two most common climatic factors used in research of the relationship between climate and SOCS?,The two most common climatic factors that have been selected in previous studies on the relationship between climate and SOCS are mean annual precipitation MAP and mean annual temperature MAT,Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,,strategy,science&tech,*,Ethics and Regulation,,9,analysis,,science&tech,,science & technology,,1,4,,,0,,,strategy
"What is the effect of Annual Sunshine Duration, the number of Snow-Covered Days and Annual Maximum Depth of Accumulated Snow on plant photosynthesis and transpiration?","Annual Sunshine Duration, the number of Snow-Covered Days and Annual Maximum Depth of Accumulated Snow have been shown to affect plant photosynthesis and transpiration Bansouleh et al, 2009, plant phenology Yuan et al, 2016, and nutrient transformation Edwards et al, 2007",Climatological Vegetation,"vegetation, plants, climatological, planting, climatology, factors, vegetative, cultivation, crops, plant, influencing, fertilizers, climatic, impacts, planted, croplands, deforestation, effects, ecologization, impact, soils, humidity, rainfalls, harvesting, climates, cultivated, droughts, ecotypes, soil, climatol, rainfall, climat, cropland, klimapositives, climate, ecoregions, acclimatize, meteorological, reforestation, growth, bioclimatic, factor, effect, climatena, orchards, affects, seedlings, consequences, humid, drought",,others,,science and tech,analysis,,Analysis,,6,others,,analysis,,science & technology,OK,2,1,,2,,,,science and tech
What is the influence of the spatial scale on the Soil Organic Carbon Storage SOCS in different grassland types?,"The influence of the spatial scale on the Soil Organic Carbon Storage SOCS in different grassland types is crucial Previous studies have investigated the relationship between climate factors and SOCS at local, continental or global scales Ni, 2002; Wang et al, 2002; Wu et al, 2008; Singh et al, 2011",Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,strategy,,science and tech,science&tech,OK,Analysis,,6,others,,science&tech,OK,science & technology,OK,,3,,1,1,,,science and tech
What are the two hypotheses proposed by Wang et al?,"The two hypotheses proposed by Wang et al are 1 the main climate factors affecting SOCS differ across area scales, and 2 the effect of climate factors on SOCS increases with area scale",Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,Q,others,science&tech,Q,Analysis,,6,others,OK,factual,OK,science & technology,Q,,3,,1,,,1,others
"How do differences in vegetation types, plant tissue quality, and composition of various types of grasslands affect their soil carbon storage capacity?","Differences in vegetation types, plant tissue quality, and composition of various types of grasslands affect their soil carbon storage capacity by affecting the SOCS and making it difficult to accurately estimate its value based on a single grassland type or a single region",Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,analysis,OK,analysis,science&tech,Q,Ethics and Regulation,,5,analysis,OK,science&tech,Q,science & technology,Q,2,4,,,,,,analysis
What are the two questions this study aims to answer?,The two questions this study aims to answer are 1 Do the dominant climatic factors affecting SOCS change with area scale? 2 Is the impact of climate factors on SOCS regulated by grassland area scale?,Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,,others,science&tech,*,Analysis,,11,others,OK,science&tech,,analysis,,1,3,,1,,,,others
What geographical region was chosen as the sampling area for this study?,The grasslands in northern China were chosen as the sampling area for this study,Nord-East Region,"where, geographical, located, geographic, location, geography, northeast, region, north, locations, wherein, area, subregion, northern, situated, northernmost, regions, northward, regional, local, easterncentral, northwest, nord, east, northeastern, place, district, latitude, areas, places, southeastern, southeast, eastern, coordinates, territorial, zone, geological, localized, territory, zones, eastwest, spot, map, territories, northwestern, oceanography, position, latitudes, arctic, south",,strategy,,others,science&tech,,Analysis,,11,others,OK,factual,OK,science & technology,,,2,,1,1,,1,others
Where is the study area located?,"The study area is located in northern China between 83E-127E, 35N-52N",Nord-East Region,"where, geographical, located, geographic, location, geography, northeast, region, north, locations, wherein, area, subregion, northern, situated, northernmost, regions, northward, regional, local, easterncentral, northwest, nord, east, northeastern, place, district, latitude, areas, places, southeastern, southeast, eastern, coordinates, territorial, zone, geological, localized, territory, zones, eastwest, spot, map, territories, northwestern, oceanography, position, latitudes, arctic, south",,science and tech,,others,factual,OK,Analysis,,11,others,OK,factual,OK,science & technology,,,2,,1,,,2,others
What percentage of the Chinese grasslands does the study area cover?,The study area covers an area of 284 % of Chinese grasslands,Grassland Regions,"grasslands, grassland, croplands, highlands, cropland, rangelands, grass, farmland, terrain, fields, territories, gagnon, rural, lowland, rangeland, uplands, gannan, areas, guangdong, deforestation, regions, land, gabon, gurung, ecoregions, gauging, grasses, region, geographical, geographic, lands, dryland, soils, soil, field, afforestation, geography, wetland, geological, giorgio, territorial, vegetation, zones, forests, geomorphic, fieldwork, regional, subregion, forestry, territory",,analysis,OK,analysis,science&tech,OK,Analysis,,11,others,,factual,,analysis,OK,2,1,,1,,,1,analysis
What are the climate conditions in temperate grasslands?,"The annual precipitation decreases from east to west, ranging from 450 mm to 150 mm, while the annual average temperature increases from the north to the south, ranging from 4 degrees Celsius to 9 degrees Celsius",Rainfall Dynamics,"rainfall, rainfalls, irrigation, flood, streamflow, drainage, rivers, precipitation, floods, basin, precipitations, stormwater, river, fluxuation, basins, rainy, rain, meteorology, sedimentation, humidity, meteorological, watershed, average, reservoir, baseflow, averaging, droughts, averages, drought, irrigated, rainfed, flowrate, wetland, watersheds, wastewater, meteorol, groundwater, desertification, flow, climatology, median, flows, climatological, mediterranean, wetter, moisture, wet, sediments, streams, averaged",,strategy,,science and tech,science&tech,OK,Ethics and Regulation,,10,science&tech,OK,science&tech,OK,science & technology,OK,,4,,,1,,,science and tech
What are the dominant communities in the meadow grassland?,"The dominant communities in the meadow grassland are mesophytic perennial bunch grasses and perennial rhizomatous grasses, with indicator species such as Artemisia tanacetifolia, Schizonepeta multifidi, and Bromus inermis",Grassland Regions,"grasslands, grassland, croplands, highlands, cropland, rangelands, grass, farmland, terrain, fields, territories, gagnon, rural, lowland, rangeland, uplands, gannan, areas, guangdong, deforestation, regions, land, gabon, gurung, ecoregions, gauging, grasses, region, geographical, geographic, lands, dryland, soils, soil, field, afforestation, geography, wetland, geological, giorgio, territorial, vegetation, zones, forests, geomorphic, fieldwork, regional, subregion, forestry, territory",,others,OK,Others,factual,OK,Analysis,,2,analysis,,factual,OK,science & technology,,1,1,,1,,,2,Others
What are the predominant species of desert grassland?,"The predominant species of desert grassland are perennial xerophytic short bunch grasses such as Stipa tianschanica, strong-xerophytic dwarf shrubs such as Caragana stenophylla, and mixed dwarf semi-shrubs such as Artemisia frigida",Climatological Vegetation,"vegetation, plants, climatological, planting, climatology, factors, vegetative, cultivation, crops, plant, influencing, fertilizers, climatic, impacts, planted, croplands, deforestation, effects, ecologization, impact, soils, humidity, rainfalls, harvesting, climates, cultivated, droughts, ecotypes, soil, climatol, rainfall, climat, cropland, klimapositives, climate, ecoregions, acclimatize, meteorological, reforestation, growth, bioclimatic, factor, effect, climatena, orchards, affects, seedlings, consequences, humid, drought",,others,Q,science and tech,strategy,OK,Analysis,,2,analysis,,strategy,OK,science & technology,OK,1,1,,1,2,,,science and tech
What are the soil types of desert grassland?,"The soil types of desert grassland include dark brown calcium soil, light brown calcium soil, sandy brown calcium soil, sandy brown calcium soil, mountain brown calcium soil, light chestnut soil, mountain chestnut soil, and mountain light chestnut soil",Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,strategy,,science and tech,science&tech,OK,Analysis,,2,analysis,,science&tech,OK,science & technology,OK,1,3,,,1,,,science and tech
What type of ground is typically covered in northern China due to wind erosion?,The ground is usually covered with coarse sand and gravel due to wind erosion,Nord-East Region,"where, geographical, located, geographic, location, geography, northeast, region, north, locations, wherein, area, subregion, northern, situated, northernmost, regions, northward, regional, local, easterncentral, northwest, nord, east, northeastern, place, district, latitude, areas, places, southeastern, southeast, eastern, coordinates, territorial, zone, geological, localized, territory, zones, eastwest, spot, map, territories, northwestern, oceanography, position, latitudes, arctic, south",,science and tech,Q,analysis,science&tech,Q,Analysis,OK,2,analysis,OK,science&tech,Q,science & technology,Q,1,4,,,,,,analysis
How many scales were defined in northern China to measure the grassland area?,"Three scales were defined scale I, scale II, and scale III, with increasing grassland type and area",Dryland Experimentation,"soil, soils, experimentation, dryland, sampled, desertification, sedimentation, experimental, samples, sample, experiment, groundwater, experiments, droughts, earths, landfills, croplands, ground, methods, sediments, cement, land, experimentally, clay, drought, terrain, methodologies, sampling, trials, wetland, lands, terra, terre, method, methodology, cropland, desert, earth, experimentacin, trial, fertilizers, harvesting, probing, drying, humidity, dry, how, grasslands, ciment, erosional",,analysis,OK,analysis,analysis,OK,Analysis,OK,2,analysis,OK,analysis,OK,science & technology,,4,1,,,,,,analysis
What types of grasslands were combined to produce the scale III of area 11167 104 km2?,"The three types of grasslands combined to create scale III of area 11167 x 104 km2 were the meadow-typical, meadow-desert, and typical-desert types",Dryland Experimentation,"soil, soils, experimentation, dryland, sampled, desertification, sedimentation, experimental, samples, sample, experiment, groundwater, experiments, droughts, earths, landfills, croplands, ground, methods, sediments, cement, land, experimentally, clay, drought, terrain, methodologies, sampling, trials, wetland, lands, terra, terre, method, methodology, cropland, desert, earth, experimentacin, trial, fertilizers, harvesting, probing, drying, humidity, dry, how, grasslands, ciment, erosional",,science and tech,OK,science and tech,science&tech,OK,Analysis,Q,2,analysis,Q,science&tech,OK,science & technology,OK,1,4,,,,,,science and tech
How much of the total area was occupied by the top 10 formations in each of the three grassland types?,"The top 10 formations in each of the three grassland types occupied 934 %, 908 %, and 806 % of the total area respectively",Grassland Regions,"grasslands, grassland, croplands, highlands, cropland, rangelands, grass, farmland, terrain, fields, territories, gagnon, rural, lowland, rangeland, uplands, gannan, areas, guangdong, deforestation, regions, land, gabon, gurung, ecoregions, gauging, grasses, region, geographical, geographic, lands, dryland, soils, soil, field, afforestation, geography, wetland, geological, giorgio, territorial, vegetation, zones, forests, geomorphic, fieldwork, regional, subregion, forestry, territory",,strategy,,analysis,strategy,*,Analysis,OK,2,analysis,OK,strategy,,analysis,OK,2,,,,3,,,analysis
How many plots were selected in the three grassland types to minimize errors when evaluating SOCS?,A total of 150 plots were selected in the three grassland types to minimize errors when evaluating SOCS,Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,Q,analysis,science&tech,Q,Analysis,OK,2,analysis,OK,science&tech,Q,science & technology,Q,1,4,,,,,,analysis
How many soil samples were taken using a soil auger?,"5,400 soil samples were taken using a soil auger",Dryland Experimentation,"soil, soils, experimentation, dryland, sampled, desertification, sedimentation, experimental, samples, sample, experiment, groundwater, experiments, droughts, earths, landfills, croplands, ground, methods, sediments, cement, land, experimentally, clay, drought, terrain, methodologies, sampling, trials, wetland, lands, terra, terre, method, methodology, cropland, desert, earth, experimentacin, trial, fertilizers, harvesting, probing, drying, humidity, dry, how, grasslands, ciment, erosional",,science and tech,Q,analysis,science&tech,Q,Analysis,OK,2,analysis,OK,science&tech,Q,analysis,OK,2,3,,,,,,analysis
What method was used to measure SOCD?,"Wet combustion with K2Cr2O7 Nelson and Sommers, 1982 was used to measure SOCD",Data Analysis Methods,"dataset, data, datasets, datastream, statistics, statistic, statistical, statistisches, estimations, statigraphs, analyzing, analyzed, analysis, statistically, analyze, methodologies, datasheets, methodology, meteorology, analysing, estimation, analyses, estimates, estimate, methodological, climatology, methods, analytical, meteorological, accuracy, determining, used, analytic, metric, climatological, analyzer, utilizing, utilized, metrics, predictability, method, utilisation, analyse, analysed, usage, utilization, how, forecasts, measurement, deterministic",,ethics and regulation,,science and tech,science&tech,OK,Analysis,,2,analysis,,science&tech,OK,science & technology,OK,1,3,1,,,,,science and tech
What was the ratio used to calculate soil bulk density?,"The ratio used to calculate soil bulk density was the oven-dried soil mass to the container volume Field et al, 2008",Dryland Experimentation,"soil, soils, experimentation, dryland, sampled, desertification, sedimentation, experimental, samples, sample, experiment, groundwater, experiments, droughts, earths, landfills, croplands, ground, methods, sediments, cement, land, experimentally, clay, drought, terrain, methodologies, sampling, trials, wetland, lands, terra, terre, method, methodology, cropland, desert, earth, experimentacin, trial, fertilizers, harvesting, probing, drying, humidity, dry, how, grasslands, ciment, erosional",,science and tech,Q,analysis,science&tech,Q,Analysis,OK,2,analysis,OK,science&tech,Q,science & technology,Q,1,4,,,,,,analysis
What were the nine climate factors selected to examine the relationship between climate factors and SOCS?,"The nine climate factors selected to examine the relationship between climate factors and SOCS were annual maximum depth of accumulated snow AMDS, annual maximum temperature AMAT, annual minimum temperature AMIT, annual sunshine duration ASD, mean annual ground temperature MAGT, mean annual humidity MAH, mean annual precipitation MAP, mean annual temperature MAT, and the number of snow-covered days NSD",Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,Q,analysis,science&tech,Q,Ethics and Regulation,,10,science&tech,Q,science&tech,Q,analysis,OK,1,4,,,,,,analysis
How were the climatic data interpolated for the study?,The climatic data were interpolated by the Kriging method using the ArcGIS software version 101,Data Analysis Methods,"dataset, data, datasets, datastream, statistics, statistic, statistical, statistisches, estimations, statigraphs, analyzing, analyzed, analysis, statistically, analyze, methodologies, datasheets, methodology, meteorology, analysing, estimation, analyses, estimates, estimate, methodological, climatology, methods, analytical, meteorological, accuracy, determining, used, analytic, metric, climatological, analyzer, utilizing, utilized, metrics, predictability, method, utilisation, analyse, analysed, usage, utilization, how, forecasts, measurement, deterministic",,science and tech,Q,analysis,science&tech,Q,Strategy and Management,,3,science&tech,Q,science&tech,Q,science & technology,Q,0,5,,,,,,analysis
How is soil organic carbon stock calculated?,Soil organic carbon stock is calculated by multiplying soil organic carbon density and the sampling area,Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,strategy,,science and tech,science&tech,OK,Analysis,,2,analysis,,strategy,,science & technology,OK,1,2,,,2,,,science and tech
What software did they use to conduct Redundancy Analysis?,"They used Canoco 50 software Microcomputer Power, Ithaca, NY, USA",Data Analysis Methods,"dataset, data, datasets, datastream, statistics, statistic, statistical, statistisches, estimations, statigraphs, analyzing, analyzed, analysis, statistically, analyze, methodologies, datasheets, methodology, meteorology, analysing, estimation, analyses, estimates, estimate, methodological, climatology, methods, analytical, meteorological, accuracy, determining, used, analytic, metric, climatological, analyzer, utilizing, utilized, metrics, predictability, method, utilisation, analyse, analysed, usage, utilization, how, forecasts, measurement, deterministic",,others,,science and tech,science&tech,,Analysis,,2,analysis,,analysis,,science & technology,OK,2,3,,1,,,,science and tech
What statistical method was used to analyze the differences between SOCS and climate factors?,ANOVA was used to analyze the differences between SOCS and climate factors,Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,OK,science and tech,science&tech,OK,Ethics and Regulation,,9,analysis,Q,science&tech,OK,science & technology,OK,1,4,,,,,,science and tech
What are the significant differences between meadow grassland and typical grassland?,"Typical grassland exhibited the lowest Mean Annual Temperature MAT among the three grassland types Meadow grassland displayed lower Nutrient Storage Difference NSD and Mean Annual Humidity MAH values than typical grassland Desert grassland displayed the highest Aridity Strength Index ASD, Mean Annual Grazing Time MAGT, and MAT, and the lowest MAH and Mean Annual Precipitation MAP compared to those of the other grassland types",Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,OK,science and tech,strategy,,Analysis,,2,analysis,,science&tech,OK,science & technology,OK,1,3,,,1,,,science and tech
What is the distribution of Soil Organic Carbon Storage SOCS in the grasslands of northern China?,"Owning to areas of typical grassland > desert grassland > meadow grassland, the total SOCS in the grasslands was desert grassland < meadow grassland < typical grassland",Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,others,,analysis,science&tech,,Analysis,,2,analysis,,science&tech,,science & technology,,1,3,,1,,,,analysis
